song_id,artist_name,track_name,release_date,genre,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,topic
154,ricky nelson,unchained melody,1958,pop,0.131,0.002,0.002,0.002,0.506,0.166,0.002,0.204,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.09,0.315,0.534,0.775,0,0.302,0.116,night/time
158,ricky nelson,i'll walk alone,1958,pop,0.221,0.001,0.001,0.001,0.069,0.001,0.001,0.28,0.222,0.001,0.001,0.001,0.001,0.042,0.001,0.368,0.001,0.491,0.601,0.504,0,0.318,0.212,sadness
165,buddy holly,well...all right,1958,pop,0.201,0.002,0.002,0.147,0.716,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.088,0.002,0.002,0.025,0.702,0.743,0.335,0.004,0.849,0.668,night/time
166,buddy holly,i'm gonna love you too,1958,pop,0.196,0.001,0.001,0.001,0.001,0.001,0.001,0.125,0.269,0.001,0.093,0.001,0.001,0.001,0.001,0.001,0.491,0.683,0.713,0.829,0,0.807,0.578,feelings
167,johnny mathis,sleigh ride,1958,pop,0.799,0.001,0.001,0.095,0.001,0.001,0.001,0.141,0.001,0.014,0.341,0.284,0.001,0.001,0.091,0.027,0.001,0.588,0.685,0.701,0,0.889,0.665,music
168,johnny mathis,the twelfth of never,1958,pop,0.201,0.002,0.002,0.002,0.267,0.08,0.002,0.391,0.058,0.002,0.047,0.002,0.002,0.002,0.07,0.002,0.002,0.155,0.638,0.906,0,0.34,0.334,romantic
171,buddy holly,words of love,1958,pop,0.111,0.002,0.002,0.002,0.002,0.002,0.002,0.609,0.002,0.002,0.215,0.002,0.002,0.002,0.002,0.002,0.089,0.611,0.655,0.112,0.229,0.609,0.453,romantic
173,frankie laine,high noon,1958,pop,0.231,0.193,0.323,0.194,0.002,0.002,0.002,0.002,0.147,0.002,0.002,0.002,0.07,0.046,0.002,0.002,0.002,0.438,0.456,0.939,0,0.324,0.252,violence
175,johnny mathis,winter wonderland,1958,pop,0.568,0.001,0.053,0.001,0.089,0.001,0.001,0.001,0.001,0.191,0.387,0.001,0.116,0.001,0.034,0.121,0.001,0.272,0.68,0.542,0,0.497,0.535,music
178,frankie lymon,diana,1958,pop,0.211,0.041,0.001,0.001,0.001,0.001,0.001,0.482,0.001,0.001,0.001,0.001,0.001,0.135,0.001,0.288,0.001,0.513,0.731,0.701,0,0.972,0.673,romantic
